Country,Cases,Deaths,ReCovered,Death_Rate
Uganda,172149,3632,100431,2.1098002311950697
Ukraine,5557995,112418,5445577,2.0226358605936134
Uruguay,1041111,7664,1030944,0.7361366847531147
Uzbekistan,253662,1637,241486,0.6453469577626921
Vanuatu,12019,14,11976,0.11648223645894001
Venezuela,552695,5856,546537,1.0595355485394296
Vietnam,11625195,43206,10640971,0.37165828186107847
Wallis and Futuna,3550,8,438,0.22535211267605634
Western Sahara,10,1,9,10.0
Yemen,11945,2159,9124,18.07450816241105
Zambia,349304,4069,341316,1.1648878913496552
Zimbabwe,266359,5740,258888,2.1549863154614637
